tool,finding_id,finding_code,sample_ids,work_order_ids,failed_rule_checks,evidence_span,reason_trace
annotation_integrity,annotation_integrity-annotation-dimension-mismatch-7beb1b3ca2d4,ANNOTATION_DIMENSION_MISMATCH,ann-wrong-size,wo-b2fc131eacac1508,,finding=annotation_integrity-annotation-dimension-mismatch-7beb1b3ca2d4|tool=annotation_integrity|work_order=wo-b2fc131eacac1508,"{""check_id"":""finding-work-order-map"",""refs"":[""finding:annotation_integrity-annotation-dimension-mismatch-7beb1b3ca2d4""],""work_order"":""wo-b2fc131eacac1508""}"
annotation_integrity,annotation_integrity-missing-annotation-56b1668dbffe,MISSING_ANNOTATION,ann-missing,wo-cc1e4e401466f2de,,finding=annotation_integrity-missing-annotation-56b1668dbffe|tool=annotation_integrity|work_order=wo-cc1e4e401466f2de,"{""check_id"":""finding-work-order-map"",""refs"":[""finding:annotation_integrity-missing-annotation-56b1668dbffe""],""work_order"":""wo-cc1e4e401466f2de""}"
coverage_matrix,coverage_matrix-coverage-gap-83e142b08d23,COVERAGE_GAP,,wo-2af602026261e3ed,,finding=coverage_matrix-coverage-gap-83e142b08d23|tool=coverage_matrix|work_order=wo-2af602026261e3ed,"{""check_id"":""finding-work-order-map"",""refs"":[""finding:coverage_matrix-coverage-gap-83e142b08d23""],""work_order"":""wo-2af602026261e3ed""}"
duplicate_leakage,duplicate_leakage-cross-split-exact-duplicate-817654fc3991,CROSS_SPLIT_EXACT_DUPLICATE,leak-exact-copy|leak-exact-source,wo-56f99f502c4d1ce2,,finding=duplicate_leakage-cross-split-exact-duplicate-817654fc3991|tool=duplicate_leakage|work_order=wo-56f99f502c4d1ce2,"{""check_id"":""finding-work-order-map"",""refs"":[""finding:duplicate_leakage-cross-split-exact-duplicate-817654fc3991""],""work_order"":""wo-56f99f502c4d1ce2""}"
duplicate_leakage,duplicate_leakage-cross-split-near-duplicate-5d082c403451,CROSS_SPLIT_NEAR_DUPLICATE,leak-near-copy|leak-near-source,wo-87ff0db4f8a3b313,,finding=duplicate_leakage-cross-split-near-duplicate-5d082c403451|tool=duplicate_leakage|work_order=wo-87ff0db4f8a3b313,"{""check_id"":""finding-work-order-map"",""refs"":[""finding:duplicate_leakage-cross-split-near-duplicate-5d082c403451""],""work_order"":""wo-87ff0db4f8a3b313""}"
duplicate_leakage,duplicate_leakage-exact-duplicate-0d2a22f9c47e,EXACT_DUPLICATE,dup-same-copy|dup-same-source,wo-174e1c45ba60fbb2,,finding=duplicate_leakage-exact-duplicate-0d2a22f9c47e|tool=duplicate_leakage|work_order=wo-174e1c45ba60fbb2,"{""check_id"":""finding-work-order-map"",""refs"":[""finding:duplicate_leakage-exact-duplicate-0d2a22f9c47e""],""work_order"":""wo-174e1c45ba60fbb2""}"
duplicate_leakage,duplicate_leakage-exact-duplicate-0d2a22f9c47e,EXACT_DUPLICATE,dup-same-copy|dup-same-source,wo-f9c31952bba45907,,finding=duplicate_leakage-exact-duplicate-0d2a22f9c47e|tool=duplicate_leakage|work_order=wo-f9c31952bba45907,"{""check_id"":""finding-work-order-map"",""refs"":[""finding:duplicate_leakage-exact-duplicate-0d2a22f9c47e""],""work_order"":""wo-f9c31952bba45907""}"
duplicate_leakage,duplicate_leakage-exact-duplicate-a031f247ea9a,EXACT_DUPLICATE,leak-exact-copy|leak-exact-source,wo-174e1c45ba60fbb2,,finding=duplicate_leakage-exact-duplicate-a031f247ea9a|tool=duplicate_leakage|work_order=wo-174e1c45ba60fbb2,"{""check_id"":""finding-work-order-map"",""refs"":[""finding:duplicate_leakage-exact-duplicate-a031f247ea9a""],""work_order"":""wo-174e1c45ba60fbb2""}"
duplicate_leakage,duplicate_leakage-exact-duplicate-a031f247ea9a,EXACT_DUPLICATE,leak-exact-copy|leak-exact-source,wo-f9c31952bba45907,,finding=duplicate_leakage-exact-duplicate-a031f247ea9a|tool=duplicate_leakage|work_order=wo-f9c31952bba45907,"{""check_id"":""finding-work-order-map"",""refs"":[""finding:duplicate_leakage-exact-duplicate-a031f247ea9a""],""work_order"":""wo-f9c31952bba45907""}"
governance_audit,governance_audit-governance-scope-gap-2eec69ac1322,GOVERNANCE_SCOPE_GAP,,wo-d72876539c1c130f,,finding=governance_audit-governance-scope-gap-2eec69ac1322|tool=governance_audit|work_order=wo-d72876539c1c130f,"{""check_id"":""finding-work-order-map"",""refs"":[""finding:governance_audit-governance-scope-gap-2eec69ac1322""],""work_order"":""wo-d72876539c1c130f""}"
image_quality,image_quality-decode-failure-f6d9bb2bf27a,DECODE_FAILURE,q-bad-file,wo-bd0ca5f3041f49e4,,finding=image_quality-decode-failure-f6d9bb2bf27a|tool=image_quality|work_order=wo-bd0ca5f3041f49e4,"{""check_id"":""finding-work-order-map"",""refs"":[""finding:image_quality-decode-failure-f6d9bb2bf27a""],""work_order"":""wo-bd0ca5f3041f49e4""}"
image_quality,image_quality-invalid-dimensions-832040fdf093,INVALID_DIMENSIONS,q-wrong-size,wo-dc9cb97d36a0d7e8,,finding=image_quality-invalid-dimensions-832040fdf093|tool=image_quality|work_order=wo-dc9cb97d36a0d7e8,"{""check_id"":""finding-work-order-map"",""refs"":[""finding:image_quality-invalid-dimensions-832040fdf093""],""work_order"":""wo-dc9cb97d36a0d7e8""}"
image_quality,image_quality-low-sharpness-19f75593e3bd,LOW_SHARPNESS,q-blur,wo-732987ec1114e48d,,finding=image_quality-low-sharpness-19f75593e3bd|tool=image_quality|work_order=wo-732987ec1114e48d,"{""check_id"":""finding-work-order-map"",""refs"":[""finding:image_quality-low-sharpness-19f75593e3bd""],""work_order"":""wo-732987ec1114e48d""}"
image_quality,image_quality-overexposed-f0ba5910894b,OVEREXPOSED,q-overexposed,wo-3125b0e03e48ad7d,,finding=image_quality-overexposed-f0ba5910894b|tool=image_quality|work_order=wo-3125b0e03e48ad7d,"{""check_id"":""finding-work-order-map"",""refs"":[""finding:image_quality-overexposed-f0ba5910894b""],""work_order"":""wo-3125b0e03e48ad7d""}"
image_quality,image_quality-underexposed-d909977ca913,UNDEREXPOSED,q-underexposed,wo-6600d46e3e23e133,,finding=image_quality-underexposed-d909977ca913|tool=image_quality|work_order=wo-6600d46e3e23e133,"{""check_id"":""finding-work-order-map"",""refs"":[""finding:image_quality-underexposed-d909977ca913""],""work_order"":""wo-6600d46e3e23e133""}"
