finding_id,code,severity,tool,sample_ids,summary,evidence_status,recommended_action,evidence_json
annotation_integrity-annotation-dimension-mismatch-7beb1b3ca2d4,ANNOTATION_DIMENSION_MISMATCH,high,annotation_integrity,ann-wrong-size,Annotation dimensions violate the contract for ann-wrong-size.,verified,relabel,"{""annotation_path"":""masks/ann-wrong-size.png"",""expected_height"":128,""expected_width"":128,""observed_height"":128,""observed_width"":64}"
annotation_integrity-missing-annotation-56b1668dbffe,MISSING_ANNOTATION,high,annotation_integrity,ann-missing,Required annotation payload is missing for ann-missing.,verified,relabel,"{""annotation_path"":""masks/ann-missing.png"",""reason"":""missing_file""}"
coverage_matrix-coverage-gap-83e142b08d23,COVERAGE_GAP,high,coverage_matrix,,The batch does not satisfy every required coverage cell.,verified,recapture,"{""expected_cell_count"":8,""min_per_cell"":1,""missing_cells"":[{""category"":""gear"",""condition"":""dim"",""observed_count"":0,""required_count"":1,""split"":""train"",""view"":""side""}]}"
duplicate_leakage-cross-split-exact-duplicate-817654fc3991,CROSS_SPLIT_EXACT_DUPLICATE,critical,duplicate_leakage,leak-exact-copy|leak-exact-source,Byte-identical images cross dataset split boundaries.,verified,remove or repartition,"{""cross_split_pair_count"":1,""relative_paths"":[""images/leak-exact-copy.png"",""images/leak-exact-source.png""],""sha256"":""95012f0f898f12d4c22f9d54b1d45df3e0c2a143913b3e2fdbb00b6104964cf0"",""splits"":[""val"",""train""]}"
duplicate_leakage-cross-split-near-duplicate-5d082c403451,CROSS_SPLIT_NEAR_DUPLICATE,high,duplicate_leakage,leak-near-copy|leak-near-source,Perceptually near-identical images cross dataset split boundaries.,verified,remove or repartition,"{""hamming_distance"":0,""maximum_hamming"":4,""maximum_thumbnail_mean_abs_difference"":1.0,""relative_paths"":[""images/leak-near-copy.png"",""images/leak-near-source.png""],""splits"":[""test"",""train""],""thumbnail_mean_abs_difference"":0.0}"
duplicate_leakage-exact-duplicate-0d2a22f9c47e,EXACT_DUPLICATE,medium,duplicate_leakage,dup-same-copy|dup-same-source,Multiple manifest samples have byte-identical image payloads.,verified,remove or repartition,"{""relative_paths"":[""images/dup-same-copy.png"",""images/dup-same-source.png""],""sha256"":""b02b53fe335db121a2158beb0b5e13cf1c4d3f9388c2ed7c1588e1284e99a042"",""splits"":[""train"",""train""]}"
duplicate_leakage-exact-duplicate-a031f247ea9a,EXACT_DUPLICATE,medium,duplicate_leakage,leak-exact-copy|leak-exact-source,Multiple manifest samples have byte-identical image payloads.,verified,remove or repartition,"{""relative_paths"":[""images/leak-exact-copy.png"",""images/leak-exact-source.png""],""sha256"":""95012f0f898f12d4c22f9d54b1d45df3e0c2a143913b3e2fdbb00b6104964cf0"",""splits"":[""val"",""train""]}"
governance_audit-governance-scope-gap-2eec69ac1322,GOVERNANCE_SCOPE_GAP,high,governance_audit,,Manifest cells are incomplete versus contract coverage definition.,verified,investigate,"{""coverage_cell_count"":8,""missing_cells"":[{""category"":""gear"",""condition"":""dim"",""observed_count"":0,""required_count"":1,""split"":""train"",""view"":""side""}]}"
image_quality-decode-failure-f6d9bb2bf27a,DECODE_FAILURE,critical,image_quality,q-bad-file,Image payload cannot be decoded for q-bad-file.,verified,recapture,"{""error_type"":""UnidentifiedImageError"",""reason"":""decode_error"",""relative_path"":""images/q-bad-file.png""}"
image_quality-invalid-dimensions-832040fdf093,INVALID_DIMENSIONS,high,image_quality,q-wrong-size,Image dimensions violate the contract for q-wrong-size.,verified,recapture,"{""expected_height"":128,""expected_width"":128,""observed_height"":128,""observed_width"":96,""relative_path"":""images/q-wrong-size.png""}"
image_quality-low-sharpness-19f75593e3bd,LOW_SHARPNESS,high,image_quality,q-blur,Sharpness is below the contract for q-blur.,verified,recapture,"{""mean_luma"":115.990479,""minimum"":18.0,""relative_path"":""images/q-blur.png"",""sharpness"":1.895942}"
image_quality-overexposed-f0ba5910894b,OVEREXPOSED,high,image_quality,q-overexposed,Mean luminance is above the contract for q-overexposed.,verified,recapture,"{""maximum"":225.0,""mean_luma"":244.767334,""relative_path"":""images/q-overexposed.png"",""sharpness"":73.883595}"
image_quality-underexposed-d909977ca913,UNDEREXPOSED,high,image_quality,q-underexposed,Mean luminance is below the contract for q-underexposed.,verified,recapture,"{""mean_luma"":17.933228,""minimum"":35.0,""relative_path"":""images/q-underexposed.png"",""sharpness"":70.643984}"
