finding_id,code,severity,tool,sample_ids,summary,evidence_status,recommended_action,evidence_json
annotation_integrity-annotation-dimension-mismatch-7beb1b3ca2d4,ANNOTATION_DIMENSION_MISMATCH,high,annotation_integrity,ann-wrong-size,Annotation dimensions violate the contract for ann-wrong-size.,verified,relabel,"{""annotation_path"":""masks/ann-wrong-size.png"",""expected_height"":128,""expected_width"":128,""observed_height"":128,""observed_width"":64}"
annotation_integrity-missing-annotation-56b1668dbffe,MISSING_ANNOTATION,high,annotation_integrity,ann-missing,Required annotation payload is missing for ann-missing.,verified,relabel,"{""annotation_path"":""masks/ann-missing.png"",""reason"":""missing_file""}"
coverage_matrix-coverage-gap-83e142b08d23,COVERAGE_GAP,high,coverage_matrix,,The batch does not satisfy every required coverage cell.,verified,recapture,"{""expected_cell_count"":8,""min_per_cell"":1,""missing_cells"":[{""category"":""gear"",""condition"":""dim"",""observed_count"":0,""required_count"":1,""split"":""train"",""view"":""side""}]}"
duplicate_leakage-cross-split-exact-duplicate-d6f995146b37,CROSS_SPLIT_EXACT_DUPLICATE,critical,duplicate_leakage,leak-exact-copy|leak-exact-source,Byte-identical images cross dataset split boundaries.,verified,remove or repartition,"{""cross_split_pair_count"":1,""relative_paths"":[""images/leak-exact-copy.png"",""images/leak-exact-source.png""],""sha256"":""9bbbf5f19fbbc304333646990ae90248703b27b1d7271cc1e7426005a8642e40"",""splits"":[""val"",""train""]}"
duplicate_leakage-cross-split-near-duplicate-5d082c403451,CROSS_SPLIT_NEAR_DUPLICATE,high,duplicate_leakage,leak-near-copy|leak-near-source,Perceptually near-identical images cross dataset split boundaries.,verified,remove or repartition,"{""hamming_distance"":0,""maximum_hamming"":4,""maximum_thumbnail_mean_abs_difference"":1.0,""relative_paths"":[""images/leak-near-copy.png"",""images/leak-near-source.png""],""splits"":[""test"",""train""],""thumbnail_mean_abs_difference"":0.0}"
duplicate_leakage-exact-duplicate-758d15fb3f0d,EXACT_DUPLICATE,medium,duplicate_leakage,dup-same-copy|dup-same-source,Multiple manifest samples have byte-identical image payloads.,verified,remove or repartition,"{""relative_paths"":[""images/dup-same-copy.png"",""images/dup-same-source.png""],""sha256"":""82a8be41bdb0dab4e9a421b7156d062e6989baf87e8582263bebec6abaf64f74"",""splits"":[""train"",""train""]}"
duplicate_leakage-exact-duplicate-9cb6e891bed8,EXACT_DUPLICATE,medium,duplicate_leakage,leak-exact-copy|leak-exact-source,Multiple manifest samples have byte-identical image payloads.,verified,remove or repartition,"{""relative_paths"":[""images/leak-exact-copy.png"",""images/leak-exact-source.png""],""sha256"":""9bbbf5f19fbbc304333646990ae90248703b27b1d7271cc1e7426005a8642e40"",""splits"":[""val"",""train""]}"
image_quality-decode-failure-f6d9bb2bf27a,DECODE_FAILURE,critical,image_quality,q-bad-file,Image payload cannot be decoded for q-bad-file.,verified,recapture,"{""error_type"":""UnidentifiedImageError"",""reason"":""decode_error"",""relative_path"":""images/q-bad-file.png""}"
image_quality-invalid-dimensions-832040fdf093,INVALID_DIMENSIONS,high,image_quality,q-wrong-size,Image dimensions violate the contract for q-wrong-size.,verified,recapture,"{""expected_height"":128,""expected_width"":128,""observed_height"":128,""observed_width"":96,""relative_path"":""images/q-wrong-size.png""}"
image_quality-low-sharpness-e1ff89211998,LOW_SHARPNESS,high,image_quality,q-blur,Sharpness is below the contract for q-blur.,verified,recapture,"{""mean_luma"":116.185547,""minimum"":18.0,""relative_path"":""images/q-blur.png"",""sharpness"":1.858528}"
image_quality-overexposed-459d5ea14a3c,OVEREXPOSED,high,image_quality,q-overexposed,Mean luminance is above the contract for q-overexposed.,verified,recapture,"{""maximum"":225.0,""mean_luma"":244.594482,""relative_path"":""images/q-overexposed.png"",""sharpness"":74.672336}"
image_quality-underexposed-bb2e9527d9d9,UNDEREXPOSED,high,image_quality,q-underexposed,Mean luminance is below the contract for q-underexposed.,verified,recapture,"{""mean_luma"":17.864685,""minimum"":35.0,""relative_path"":""images/q-underexposed.png"",""sharpness"":71.545273}"
